client#,Round#,Training Loss,ACC,Pre,Recall,f1-score
1,1,0.7988563,0.7238888888888889,0.7530932141662353,0.7238208077104188,0.7240384611290324
2,1,0.7763463,0.7427777777777778,0.7513722610685929,0.7423453772821229,0.7404301638527968
3,1,0.79801196,0.7440740740740741,0.7562043169120054,0.7454701502792179,0.741093330602626
4,1,0.78374785,0.7383333333333333,0.7618628589870682,0.7363593952104411,0.7331165410348499
5,1,0.78512007,0.7401851851851852,0.7592009356977151,0.7395897729027783,0.7415437108434922
6,1,0.87251824,0.7096296296296296,0.7236057949661376,0.7113903295659922,0.7086875188742445
7,1,0.7734036,0.7533333333333333,0.770312547841346,0.7522529836986046,0.7543677209242055
8,1,0.9986375,0.6503703703703704,0.7041368367449532,0.6516794047217671,0.6533900929402894
9,1,0.9000671,0.6992592592592592,0.7264818823022859,0.7013807029273827,0.6919932354853819
10,1,0.83358216,0.7188888888888889,0.7545823183194363,0.7182897589273438,0.7216217488085743
1,2,0.38752225,0.8885185185185185,0.9042356106974981,0.8878489063391145,0.8909210937094739
2,2,0.3625265,0.9120370370370371,0.913226035256957,0.9120560896520663,0.9115315097667149
3,2,0.4162991,0.8727777777777778,0.884428257232803,0.873132059664455,0.872248176465062
4,2,0.4556018,0.8587037037037037,0.8741265363623182,0.8575426704015594,0.8600638591850622
5,2,0.46187603,0.8618518518518519,0.8737635985101108,0.864443103532745,0.8632748638149208
6,2,0.44315067,0.8701851851851852,0.8810486162331996,0.8699396211696587,0.8719495544785186
7,2,0.43560407,0.8688888888888889,0.874906313162918,0.8681483733699611,0.8660273608426069
8,2,0.4313878,0.8703703703703703,0.8796857918567834,0.8693269584945067,0.871332607293396
9,2,0.4364924,0.87,0.8818588404904475,0.8701572225555584,0.8694985526446312
10,2,0.49228576,0.8405555555555555,0.8664878601225832,0.8433110855989547,0.8451525033174679
1,3,0.17546698,0.9703703703703703,0.9705593307088567,0.9704075497133454,0.9703462305566444
2,3,0.16103913,0.9725925925925926,0.9737970882201766,0.9724292478017112,0.9727167228919041
3,3,0.16143826,0.9731481481481481,0.9733763035417178,0.9733332616730357,0.9731461927832127
4,3,0.17733032,0.9651851851851851,0.9659424164726493,0.9647520317748766,0.9650277123851676
5,3,0.21061435,0.9603703703703703,0.960708446108557,0.9604281250579918,0.9600205155174072
6,3,0.19416481,0.9657407407407408,0.9671652733669751,0.9656559309114308,0.9659717968892224
7,3,0.165671,0.9681481481481482,0.9691446666763719,0.9681944384925784,0.9680257349983906
8,3,0.18542697,0.9666666666666667,0.9671290621059354,0.9665511620214724,0.9665453021585177
9,3,0.1804092,0.9672222222222222,0.9679904964516555,0.9672380593072105,0.9671353525681144
10,3,0.17062195,0.9681481481481482,0.9691680685046243,0.9684328093499748,0.9684353736078439
